label,Pleiades place,Name,Transliteration,Language,source citation,source link,source citation 2,source link 2,source citation 3,source link 3,date attested,creators,details
Avila,236361,آبلة,Abila,ar,"Wikipedia (Arabic), آبلة",https://ar.wikipedia.org/wiki/%D8%A2%D8%A8%D9%84%D8%A9,,,,,Modern,,
Segovia,236658,شقونية,Shiquniya,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,,
Segovia,236658,شقوبية,Shiqubiya,ar,"Wikipedia (Arabic), شقوبية",https://ar.wikipedia.org/wiki/%D8%B4%D9%82%D9%88%D8%A8%D9%8A%D8%A9,,,,,Modern,,
Huesca,246539,و شقة,Uishqa,ar,"Wikipedia (Arabic), وشقة",https://ar.wikipedia.org/wiki/%D9%88%D8%B4%D9%82%D8%A9,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,"
Mediaeval/Byzantine, Modern",,
Pamplona,246567,بنبلونة,Banbluna,ar,"Wikipedia (Arabic), بنبلونة",https://ar.wikipedia.org/wiki/%D8%A8%D9%86%D8%A8%D9%84%D9%88%D9%86%D8%A9,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,"Mediaeval/Byzantine, Modern",,
Huesca,246539,Was̲h̲ḳa,,ar-Latn,"Encyclopedia of Islam, Was̲h̲ḳa",http://dx.doi.org/10.1163/1573-3912_islam_SIM_7879,,,,,Modern,,
Segovia,236658,S̲h̲aḳūbiya,,ar-Latn,"Encyclopedia of Islam, S̲h̲aḳūbiya",http://dx.doi.org/10.1163/1573-3912_islam_SIM_6789,,,,,Modern,,
Salamanca,236642,S̲h̲alamanḳa,,ar-Latn,"Encyclopedia of Islam,S̲h̲alamanḳa",http://dx.doi.org/10.1163/1573-3912_islam_SIM_6793,,,,,Modern,,
Salamanca,236642,S̲h̲alamantiḳa,,ar-Latn,"Encyclopedia of Islam, S̲h̲alamanḳa",http://dx.doi.org/10.1163/1573-3912_islam_SIM_6793,,,,,Modern,,
Armenia,874350,Armīniya,,ar-Latn,"Encyclopedia of Islam, Armīniya",http://dx.doi.org/10.1163/1573-3912_islam_COM_0064,,,,,Modern,,
Barcelona,246343,برشلونة,,ar,"Wikipedia (Arabic), برشلونة",https://ar.wikipedia.org/wiki/%D8%A8%D8%B1%D8%B4%D9%84%D9%88%D9%86%D8%A9,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,"Mediaeval/Byzantine, Modern",,
Barcelona,246343,Bars̲h̲alūna,,ar-Latn,"Encyclopedia of Islam, Bars̲h̲alūna",http://dx.doi.org/10.1163/1573-3912_islam_SIM_1244,,,,,Modern,,
Barcelona,246343,Bars̲h̲inūna,,ar-Latn,"Encyclopedia of Islam, Bars̲h̲alūna",http://dx.doi.org/10.1163/1573-3912_islam_SIM_1244,,,,,Modern,,
Barcelona,246343,Bard̲j̲alūna,,ar-Latn,"Encyclopedia of Islam, Bars̲h̲alūna",http://dx.doi.org/10.1163/1573-3912_islam_SIM_1244,,,,,Modern,,
Bursa,511384,Burusa,,tr,"Encyclopedia of Islam, Bursa",http://dx.doi.org/10.1163/1573-3912_islam_SIM_1552,,,,,Modern,,
Adriaticum Mare,1004,Baḥr Adriyās,,ar-Latn,"Encyclopedia of Islam, Baḥr Adriyās",http://dx.doi.org/10.1163/1573-3912_islam_SIM_1055,,,,,Modern,,
Kashan,890432541,Kās̲h̲ān,,ar-Latn,"Encyclopedia of Islam, Kās̲h̲ān",http://dx.doi.org/10.1163/1573-3912_islam_SIM_3963,,,,,Modern,,
Narbonne,246347,أربونة,Arbuna,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), أربونة",https://ar.wikipedia.org/wiki/%D8%A3%D8%B1%D8%A8%D9%88%D9%86%D8%A9,,,"Mediaeval/Byzantine, Modern",,
Narbonne,246347,Arbūna,,ar-Latn,"Encyclopedia of Islam, Arbūna",http://dx.doi.org/10.1163/1573-3912_islam_SIM_0707,,,,,Modern,,
Girona,246406,خريدة,Khrida,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,,,
Girona,246406,جرندة,Girinda,ar,"Wikipedia (Arabic), جرندة",https://ar.wikipedia.org/wiki/%D8%AC%D8%B1%D9%86%D8%AF%D8%A9,,,,,,,
Carcassonne,246294,قرقشونة,Qarqashuna,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), قرقشونة",https://ar.wikipedia.org/wiki/%D9%82%D8%B1%D9%82%D8%B4%D9%88%D9%86%D8%A9,,,,,
Tolosa,246694,طلوشة,Tulusha,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,,,
Tolosa,246694,تولوز,Tuluz,ar,"Wikipedia (Arabic), تولوز",https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%84%D9%88%D8%B2,,,,,,,
Caspium Mare,884130,درياي خزر,Dryai Khazr,fa,"Ouseley 1800, 8",https://archive.org/stream/orientalgeograp00agoog#page/n58/mode/1up,,,,,,,
Veh,29802,كرمان,Kirman,fa,"Ouseley 1800, 12",https://archive.org/stream/orientalgeograp00agoog#page/n62/mode/1up,"Wikipedia (Farsi), استان_کرمان",https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D8%A7%D9%86_%DA%A9%D8%B1%D9%85%D8%A7%D9%86,,,Modern,,
Persicus Sinus,29713,درياي فارس,Dryai Fars,fa,"Ouseley 1800, 8",https://archive.org/stream/orientalgeograp00agoog#page/n62/mode/1up,,,,,,,
