label,Pleiades place,Name,Transliteration,Language,source citation,source link,source citation 2,source link 2,source citation 3,source link 3,date attested,creators,details
Barca,373750,Barḳa,,ar-Latn,"Brill Encyclopedia of Islam, Barḳa",http://dx.doi.org/10.1163/1573-3912_islam_SIM_1237,,,,,Mediaeval/Byzantine,vvitale,
Barca,373750,Βάρκη,Barke,grc,"Wikipedia, Barca (ancient city)",https://en.wikipedia.org/wiki/Barca_(ancient_city),,,St. Byz. (Google Books),https://books.google.co.uk/books?id=k7kAAAAAYAAJ&lpg=PA104&ots=8ajc4taVDE&dq=%CE%92%CE%AC%CF%81%CE%BA%CE%B7%20stephanus&pg=PA104#v=onepage&q&f=false,Hellenistic Greek,vvitale,
Barca,373750,بَركي,Barki,ar,"Wikipedia (Arabic), al-Mardj al-Qadima",https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%B1%D8%AC_%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D9%85%D8%A9,,,,,Mediaeval/Byzantine,vvitale,
Barca,373750,"المرج ,المرج القديمة","al-Mardj, al-Mardj al-Qadima",ar,"Wikipedia (Arabic), al-Mardj al-Qadima",https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%B1%D8%AC_%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D9%85%D8%A9,GeoNames: 88903,http://www.geonames.org/88903/al-marj.html,,,modern,vvitale,
Barca,373750,al-Mard̲j̲,,ar-Latn,"Brill Encyclopedia of Islam, Barḳa",http://dx.doi.org/10.1163/1573-3912_islam_SIM_1237,,,,,modern,vvitale,
Barca,373750,"Marj, Al Marj",,ar-Latn,GeoNames: 88903,http://www.geonames.org/88903/al-marj.html,"Wikipedia, Marj",https://en.wikipedia.org/wiki/Marj,,,modern,vvitale,
Genoa,383664,جنوة,Ginua,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,,,,,Mediaeval/Byzantine,vvitale,
Pisa,403253,بيش,Bish,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f486,,,Mediaeval/Byzantine,vvitale,
Amalfi,432670,ملف,Malf,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f486,,,Mediaeval/Byzantine,vvitale,
Naples,433014,نبل,Nabal,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f486,,,Mediaeval/Byzantine,vvitale,
Brundisium,442509,بذرنت,Badhrant,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,,,,,Mediaeval/Byzantine,vvitale,
Otranto,442615,اذرنت,Adhrant,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,,,,,Mediaeval/Byzantine,vvitale,
Otranto,442615,ادرنت,Adrant,ar,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f409,,,,,Mediaeval/Byzantine,vvitale,
Crotone,452317,قطرونة,Qutruna,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f499,,,Mediaeval/Byzantine,vvitale,
Reggio,452416,ريو,Riu,ar,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f409,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,,,Mediaeval/Byzantine,vvitale,
Akragas,462086,جرجنت,Girgent,ar,Carte comparée de la Sicile du XIIe siècle ,http://gallica.bnf.fr/ark:/12148/btv1b530294081,"Wikipedia (Arabic), أغريجنتو",https://ar.wikipedia.org/wiki/%D8%A3%D8%BA%D8%B1%D9%8A%D8%AC%D9%86%D8%AA%D9%88,"Brill Encyclopedia of Islam, D̲j̲ird̲j̲ent",http://dx.doi.org/10.1163/1573-3912_islam_SIM_2084,"Mediaeval/Byzantine, modern",vvitale,
Akragas,462086,كركنت,Kirkent,ar,al-Idrisi (Google Books),https://books.google.co.uk/books?id=l2nivzTuAJ8C&lpg=PT209&ots=3fuOS0qI7X&dq=%D9%83%D8%B1%D9%83%D9%86%D8%AA&pg=PT209#v=onepage&q&f=false,"Wikipedia (Arabic), أغريجنتو",https://ar.wikipedia.org/wiki/%D8%A3%D8%BA%D8%B1%D9%8A%D8%AC%D9%86%D8%AA%D9%88,"Brill Encyclopedia of Islam, D̲j̲ird̲j̲ent",http://dx.doi.org/10.1163/1573-3912_islam_SIM_2084,"Mediaeval/Byzantine, modern",vvitale,
Akragas,462086,D̲j̲ird̲j̲ent,,ar-Latn,"Brill Encyclopedia of Islam, D̲j̲ird̲j̲ent",http://dx.doi.org/10.1163/1573-3912_islam_SIM_2084,,,,,modern,vvitale,
Calacte,462123,قلعة القارونية,Qala،a al-Qaruniya,ar,Carte comparée de la Sicile du XIIe siècle ,http://gallica.bnf.fr/ark:/12148/btv1b530294081,,,,,"Mediaeval/Byzantine, modern",vvitale,Litearal translation: Fortress of Qarunia
"Salina, isl. (Dydime)",462186,جزيرة دنديموا,Giazira Dundimu,ar,"Book of Curiosities (Bodleian), Map of the Mediterranean",http://cosmos.bodley.ox.ac.uk/hms/home.php,,,,,Mediaeval/Byzantine,vvitale,
